sample_id,video_path,tactile_path,object_id,physical_object_uid,source_medium,target_medium,reference_medium,direction,water_condition,lift_speed,placement_variant,trial_result,t_start,t_contact_all,t_grasp_stable,t_if_enter,t_if_exit,t_end,notes,sync_offset_sec,sync_audit_status,sync_audit_note
S0001,raw/videos/S0001.mp4,raw/tactile/S0001.txt,OBJ001,VT_OBJ001,water,air,water,W2A,clear,normal,normal,stable,0,2.033,10.1,11.233,12.5,24.933,,0,verified_zero,
S0002,raw/videos/S0002.mp4,raw/tactile/S0002.txt,OBJ001,VT_OBJ001,water,air,water,W2A,clear,normal,normal,stable,0,2.067,10.7,11.333,12.667,24.933,,0,verified_zero,
S0003,raw/videos/S0003.mp4,raw/tactile/S0003.txt,OBJ001,VT_OBJ001,water,air,water,W2A,clear,normal,normal,stable,0,2.467,9.033,10.767,12.7,24.933,,0,verified_zero,
S0004,raw/videos/S0004.mp4,raw/tactile/S0004.txt,OBJ001,VT_OBJ001,water,air,water,W2A,clear,normal,normal,stable,0,2.067,8.733,10.2,12.5,24.933,,0,verified_zero,
S0005,raw/videos/S0005.mp4,raw/tactile/S0005.txt,OBJ001,VT_OBJ001,water,air,water,W2A,clear,normal,normal,fail,0,2.133,7.267,8.267,,9.733,,0,verified_zero,
S0006,raw/videos/S0006.mp4,raw/tactile/S0006.txt,OBJ001,VT_OBJ001,water,air,water,W2A,clear,normal,normal,stable,0,2.067,8.033,10.067,11.733,24.867,,0,verified_zero,
S0007,raw/videos/S0007.mp4,raw/tactile/S0007.txt,OBJ001,VT_OBJ001,water,air,water,W2A,clear,normal,normal,stable,0,2.4,7.767,9.167,11.3,23.367,,0,verified_zero,
S0008,raw/videos/S0008.mp4,raw/tactile/S0008.txt,OBJ001,VT_OBJ001,water,air,water,W2A,clear,normal,normal,stable,0,2.2,10.167,11.967,13.567,24.933,,0,verified_zero,
S0009,raw/videos/S0009.mp4,raw/tactile/S0009.txt,OBJ001,VT_OBJ001,water,air,water,W2A,clear,normal,normal,stable,0,1.967,9.2,11.2,12.8,24.933,,0,verified_zero,
S0010,raw/videos/S0010.mp4,raw/tactile/S0010.txt,OBJ001,VT_OBJ001,water,air,water,W2A,clear,normal,normal,stable,0,2.3,7.067,9.133,10.567,23.533,,0,verified_zero,
S0011,raw/videos/S0011.mp4,raw/tactile/S0011.txt,OBJ001,VT_OBJ001,water,air,water,W2A,clear,fast,normal,stable,0,3,7.867,9.833,10.7,17.9,,0,verified_zero,
S0012,raw/videos/S0012.mp4,raw/tactile/S0012.txt,OBJ001,VT_OBJ001,water,air,water,W2A,clear,fast,normal,stable,0,2.033,9.033,11.133,12.267,19.933,,0,verified_zero,
S0013,raw/videos/S0013.mp4,raw/tactile/S0013.txt,OBJ001,VT_OBJ001,water,air,water,W2A,clear,fast,normal,stable,0,2.467,8.233,9.867,11,18.9,,0,verified_zero,
S0014,raw/videos/S0014.mp4,raw/tactile/S0014.txt,OBJ001,VT_OBJ001,water,air,water,W2A,turbid,normal,normal,stable,0,2.3,8.433,9.767,11.7,24.433,,0,verified_zero,
S0015,raw/videos/S0015.mp4,raw/tactile/S0015.txt,OBJ001,VT_OBJ001,water,air,water,W2A,turbid,normal,normal,stable,0,2.033,8.433,9.8,11.3,24.067,,0,verified_zero,
S0016,raw/videos/S0016.mp4,raw/tactile/S0016.txt,OBJ001,VT_OBJ001,water,air,water,W2A,clear,normal,inverse,stable,0,2.1,7.467,10.167,11.733,23.967,,0,verified_zero,
S0017,raw/videos/S0017.mp4,raw/tactile/S0017.txt,OBJ001,VT_OBJ001,water,air,water,W2A,clear,normal,inverse,fail,0,2.167,6.267,8.033,,9.5,,1,manually_corrected,Manual sync correction: tactile occurs approximately 1.0 s earlier than video; shift tactile right by +1.000 s.
S0018,raw/videos/S0018.mp4,raw/tactile/S0018.txt,OBJ002,VT_OBJ002,water,air,water,W2A,clear,normal,normal,stable,0,3.167,8.1,12.967,15,24.933,,0,verified_zero,
S0019,raw/videos/S0019.mp4,raw/tactile/S0019.txt,OBJ002,VT_OBJ002,water,air,water,W2A,clear,normal,normal,stable,0,3.167,7.2,11.433,13.233,24.9,,0,verified_zero,
S0020,raw/videos/S0020.mp4,raw/tactile/S0020.txt,OBJ002,VT_OBJ002,water,air,water,W2A,clear,normal,normal,stable,0,2.167,7.533,10.067,11.833,24.867,,0,verified_zero,
S0021,raw/videos/S0021.mp4,raw/tactile/S0021.txt,OBJ002,VT_OBJ002,water,air,water,W2A,clear,normal,normal,stable,0,3.4,7.4,9.933,11.8,24.633,,0,verified_zero,
S0022,raw/videos/S0022.mp4,raw/tactile/S0022.txt,OBJ002,VT_OBJ002,water,air,water,W2A,clear,normal,normal,stable,0,3.6,7.067,8.4,10.067,22.4,,0,verified_zero,
S0023,raw/videos/S0023.mp4,raw/tactile/S0023.txt,OBJ002,VT_OBJ002,water,air,water,W2A,clear,normal,normal,stable,0,3.633,6.6,8.067,9.9,22.7,,0,verified_zero,
S0024,raw/videos/S0024.mp4,raw/tactile/S0024.txt,OBJ002,VT_OBJ002,water,air,water,W2A,clear,normal,normal,stable,0,3.733,7.567,8.9,10.6,23.8,,0,verified_zero,
S0025,raw/videos/S0025.mp4,raw/tactile/S0025.txt,OBJ002,VT_OBJ002,water,air,water,W2A,clear,normal,rotate,stable,0,4.4,7.5,10.533,12.233,24.933,,0,verified_zero,
S0026,raw/videos/S0026.mp4,raw/tactile/S0026.txt,OBJ002,VT_OBJ002,water,air,water,W2A,clear,normal,rotate,stable,0,4.133,8.3,10.167,11.9,24.933,,0,verified_zero,
S0027,raw/videos/S0027.mp4,raw/tactile/S0027.txt,OBJ002,VT_OBJ002,water,air,water,W2A,clear,normal,rotate,stable,0,4.6,7.7,8.767,10.633,23.533,,0.3,manually_corrected,
S0028,raw/videos/S0028.mp4,raw/tactile/S0028.txt,OBJ002,VT_OBJ002,water,air,water,W2A,clear,fast,normal,stable,0,3.633,7.267,8.433,9.633,17.1,,0,verified_zero,
S0029,raw/videos/S0029.mp4,raw/tactile/S0029.txt,OBJ002,VT_OBJ002,water,air,water,W2A,clear,fast,normal,stable,0,2.9,6.533,8.367,9.733,16.733,,-0.5,manually_corrected,
S0030,raw/videos/S0030.mp4,raw/tactile/S0030.txt,OBJ002,VT_OBJ002,water,air,water,W2A,clear,normal,normal,stable,0,3.667,7.333,8.5,10.8,23.3,,0,verified_zero,
S0031,raw/videos/S0031.mp4,raw/tactile/S0031.txt,OBJ002,VT_OBJ002,water,air,water,W2A,turbid,normal,normal,stable,0,1.6,11.933,13.2,15.2,24.933,,0,verified_zero,
S0032,raw/videos/S0032.mp4,raw/tactile/S0032.txt,OBJ002,VT_OBJ002,water,air,water,W2A,turbid,normal,normal,stable,0,2,7.567,9.633,11.767,24.067,,0,verified_zero,
S0033,raw/videos/S0033.mp4,raw/tactile/S0033.txt,OBJ002,VT_OBJ002,water,air,water,W2A,clear,normal,inverse,fail,0,3,10.2,10.933,12.933,23.367,,0,verified_zero,
S0034,raw/videos/S0034.mp4,raw/tactile/S0034.txt,OBJ003,VT_OBJ003,water,air,water,W2A,clear,normal,normal,stable,0,1.333,8.633,9.9,11.5,24.7,,0,verified_zero,
